CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME,INSTANCE,TYPE
1,40,50,0,0,1236,0,C101,C
2,45,68,10,912,967,90,C101,C
3,45,70,30,825,870,90,C101,C
4,42,66,10,65,146,90,C101,C
5,42,68,10,727,782,90,C101,C
6,42,65,10,15,67,90,C101,C
7,40,69,20,621,702,90,C101,C
8,40,66,20,170,225,90,C101,C
9,38,68,20,255,324,90,C101,C
10,38,70,10,534,605,90,C101,C
11,35,66,10,357,410,90,C101,C
12,35,69,10,448,505,90,C101,C
13,25,85,20,652,721,90,C101,C
14,22,75,30,30,92,90,C101,C
15,22,85,10,567,620,90,C101,C
16,20,80,40,384,429,90,C101,C
17,20,85,40,475,528,90,C101,C
18,18,75,20,99,148,90,C101,C
19,15,75,20,179,254,90,C101,C
20,15,80,10,278,345,90,C101,C
21,30,50,10,10,73,90,C101,C
22,30,52,20,914,965,90,C101,C
23,28,52,20,812,883,90,C101,C
24,28,55,10,732,777,90,C101,C
25,25,50,10,65,144,90,C101,C
26,25,52,40,169,224,90,C101,C
27,25,55,10,622,701,90,C101,C
28,23,52,10,261,316,90,C101,C
29,23,55,20,546,593,90,C101,C
30,20,50,10,358,405,90,C101,C
31,20,55,10,449,504,90,C101,C
32,10,35,20,200,237,90,C101,C
33,10,40,30,31,100,90,C101,C
34,8,40,40,87,158,90,C101,C
35,8,45,20,751,816,90,C101,C
36,5,35,10,283,344,90,C101,C
37,5,45,10,665,716,90,C101,C
38,2,40,20,383,434,90,C101,C
39,0,40,30,479,522,90,C101,C
40,0,45,20,567,624,90,C101,C
41,35,30,10,264,321,90,C101,C
42,35,32,10,166,235,90,C101,C
43,33,32,20,68,149,90,C101,C
44,33,35,10,16,80,90,C101,C
45,32,30,10,359,412,90,C101,C
46,30,30,10,541,600,90,C101,C
47,30,32,30,448,509,90,C101,C
48,30,35,10,1054,1127,90,C101,C
49,28,30,10,632,693,90,C101,C
50,28,35,10,1001,1066,90,C101,C
51,26,32,10,815,880,90,C101,C
52,25,30,10,725,786,90,C101,C
53,25,35,10,912,969,90,C101,C
54,44,5,20,286,347,90,C101,C
55,42,10,40,186,257,90,C101,C
56,42,15,10,95,158,90,C101,C
57,40,5,30,385,436,90,C101,C
58,40,15,40,35,87,90,C101,C
59,38,5,30,471,534,90,C101,C
60,38,15,10,651,740,90,C101,C
61,35,5,20,562,629,90,C101,C
62,50,30,10,531,610,90,C101,C
63,50,35,20,262,317,90,C101,C
64,50,40,50,171,218,90,C101,C
65,48,30,10,632,693,90,C101,C
66,48,40,10,76,129,90,C101,C
67,47,35,10,826,875,90,C101,C
68,47,40,10,12,77,90,C101,C
69,45,30,10,734,777,90,C101,C
70,45,35,10,916,969,90,C101,C
71,95,30,30,387,456,90,C101,C
72,95,35,20,293,360,90,C101,C
73,53,30,10,450,505,90,C101,C
74,92,30,10,478,551,90,C101,C
75,53,35,50,353,412,90,C101,C
76,45,65,20,997,1068,90,C101,C
77,90,35,10,203,260,90,C101,C
78,88,30,10,574,643,90,C101,C
79,88,35,20,109,170,90,C101,C
80,87,30,10,668,731,90,C101,C
81,85,25,10,769,820,90,C101,C
82,85,35,30,47,124,90,C101,C
83,75,55,20,369,420,90,C101,C
84,72,55,10,265,338,90,C101,C
85,70,58,20,458,523,90,C101,C
86,68,60,30,555,612,90,C101,C
87,66,55,10,173,238,90,C101,C
88,65,55,20,85,144,90,C101,C
89,65,60,30,645,708,90,C101,C
90,63,58,10,737,802,90,C101,C
91,60,55,10,20,84,90,C101,C
92,60,60,10,836,889,90,C101,C
93,67,85,20,368,441,90,C101,C
94,65,85,40,475,518,90,C101,C
95,65,82,10,285,336,90,C101,C
96,62,80,30,196,239,90,C101,C
97,60,80,10,95,156,90,C101,C
98,60,85,30,561,622,90,C101,C
99,58,75,20,30,84,90,C101,C
100,55,80,10,743,820,90,C101,C
101,55,85,20,647,726,90,C101,C
1,40,50,0,0,1236,0,C102,C
2,45,68,10,0,1127,90,C102,C
3,45,70,30,0,1125,90,C102,C
4,42,66,10,0,1129,90,C102,C
5,42,68,10,727,782,90,C102,C
6,42,65,10,0,1130,90,C102,C
7,40,69,20,621,702,90,C102,C
8,40,66,20,0,1130,90,C102,C
9,38,68,20,255,324,90,C102,C
10,38,70,10,534,605,90,C102,C
11,35,66,10,357,410,90,C102,C
12,35,69,10,448,505,90,C102,C
13,25,85,20,0,1107,90,C102,C
14,22,75,30,30,92,90,C102,C
15,22,85,10,567,620,90,C102,C
16,20,80,40,384,429,90,C102,C
17,20,85,40,475,528,90,C102,C
18,18,75,20,99,148,90,C102,C
19,15,75,20,179,254,90,C102,C
20,15,80,10,278,345,90,C102,C
21,30,50,10,10,73,90,C102,C
22,30,52,20,0,1135,90,C102,C
23,28,52,20,812,883,90,C102,C
24,28,55,10,732,777,90,C102,C
25,25,50,10,65,144,90,C102,C
26,25,52,40,169,224,90,C102,C
27,25,55,10,0,1130,90,C102,C
28,23,52,10,261,316,90,C102,C
29,23,55,20,546,593,90,C102,C
30,20,50,10,358,405,90,C102,C
31,20,55,10,449,504,90,C102,C
32,10,35,20,0,1112,90,C102,C
33,10,40,30,31,100,90,C102,C
34,8,40,40,87,158,90,C102,C
35,8,45,20,0,1113,90,C102,C
36,5,35,10,283,344,90,C102,C
37,5,45,10,665,716,90,C102,C
38,2,40,20,0,1106,90,C102,C
39,0,40,30,479,522,90,C102,C
