CUST_NO,XCOORD,YCOORD,DEMAND,READY_TIME,DUE_DATE,SERVICE_TIME,INSTANCE,TYPE,TYPE_ENCODED
1,0.42105263157894735,0.573170731707317,0.0,0.0,0.36460176991150445,0.0,C101,C,0
2,0.47368421052631576,0.7926829268292683,0.2,0.26902654867256637,0.28525073746312685,0.02654867256637168,C101,C,0
3,0.47368421052631576,0.8170731707317073,0.6,0.24336283185840707,0.25663716814159293,0.02654867256637168,C101,C,0
4,0.4421052631578947,0.7682926829268293,0.2,0.019174041297935103,0.043067846607669616,0.02654867256637168,C101,C,0
5,0.4421052631578947,0.7926829268292683,0.2,0.2144542772861357,0.23067846607669618,0.02654867256637168,C101,C,0
6,0.4421052631578947,0.7560975609756098,0.2,0.004424778761061947,0.01976401179941003,0.02654867256637168,C101,C,0
7,0.42105263157894735,0.8048780487804879,0.4,0.1831858407079646,0.20707964601769913,0.02654867256637168,C101,C,0
8,0.42105263157894735,0.7682926829268293,0.4,0.05014749262536873,0.06637168141592921,0.02654867256637168,C101,C,0
9,0.4,0.7926829268292683,0.4,0.0752212389380531,0.09557522123893805,0.02654867256637168,C101,C,0
10,0.4,0.8170731707317073,0.2,0.15752212389380532,0.17846607669616518,0.02654867256637168,C101,C,0
11,0.3684210526315789,0.7682926829268293,0.2,0.10530973451327434,0.12094395280235988,0.02654867256637168,C101,C,0
12,0.3684210526315789,0.8048780487804879,0.2,0.13215339233038348,0.14896755162241887,0.02654867256637168,C101,C,0
13,0.2631578947368421,1.0,0.4,0.19233038348082596,0.2126843657817109,0.02654867256637168,C101,C,0
14,0.23157894736842105,0.8780487804878049,0.6,0.008849557522123894,0.027138643067846607,0.02654867256637168,C101,C,0
15,0.23157894736842105,1.0,0.2,0.1672566371681416,0.18289085545722714,0.02654867256637168,C101,C,0
16,0.21052631578947367,0.9390243902439024,0.8,0.11327433628318584,0.12654867256637167,0.02654867256637168,C101,C,0
17,0.21052631578947367,1.0,0.8,0.140117994100295,0.15575221238938053,0.02654867256637168,C101,C,0
18,0.18947368421052632,0.8780487804878049,0.4,0.02920353982300885,0.04365781710914454,0.02654867256637168,C101,C,0
19,0.15789473684210525,0.8780487804878049,0.4,0.0528023598820059,0.07492625368731563,0.02654867256637168,C101,C,0
20,0.15789473684210525,0.9390243902439024,0.2,0.08200589970501475,0.10176991150442478,0.02654867256637168,C101,C,0
21,0.3157894736842105,0.573170731707317,0.2,0.0029498525073746312,0.021533923303834808,0.02654867256637168,C101,C,0
22,0.3157894736842105,0.5975609756097561,0.4,0.2696165191740413,0.28466076696165193,0.02654867256637168,C101,C,0
23,0.29473684210526313,0.5975609756097561,0.4,0.23952802359882006,0.2604719764011799,0.02654867256637168,C101,C,0
24,0.29473684210526313,0.6341463414634146,0.2,0.215929203539823,0.22920353982300884,0.02654867256637168,C101,C,0
25,0.2631578947368421,0.573170731707317,0.2,0.019174041297935103,0.04247787610619469,0.02654867256637168,C101,C,0
26,0.2631578947368421,0.5975609756097561,0.8,0.04985250737463127,0.06607669616519174,0.02654867256637168,C101,C,0
27,0.2631578947368421,0.6341463414634146,0.2,0.18348082595870208,0.20678466076696164,0.02654867256637168,C101,C,0
28,0.24210526315789474,0.5975609756097561,0.2,0.07699115044247788,0.09321533923303835,0.02654867256637168,C101,C,0
29,0.24210526315789474,0.6341463414634146,0.4,0.16106194690265488,0.17492625368731562,0.02654867256637168,C101,C,0
30,0.21052631578947367,0.573170731707317,0.2,0.1056047197640118,0.11946902654867257,0.02654867256637168,C101,C,0
31,0.21052631578947367,0.6341463414634146,0.2,0.13244837758112094,0.1486725663716814,0.02654867256637168,C101,C,0
32,0.10526315789473684,0.3902439024390244,0.4,0.058997050147492625,0.06991150442477877,0.02654867256637168,C101,C,0
33,0.10526315789473684,0.45121951219512196,0.6,0.009144542772861357,0.029498525073746312,0.02654867256637168,C101,C,0
34,0.08421052631578947,0.45121951219512196,0.8,0.02566371681415929,0.04660766961651917,0.02654867256637168,C101,C,0
35,0.08421052631578947,0.5121951219512195,0.4,0.2215339233038348,0.2407079646017699,0.02654867256637168,C101,C,0
36,0.05263157894736842,0.3902439024390244,0.2,0.08348082595870207,0.10147492625368731,0.02654867256637168,C101,C,0
37,0.05263157894736842,0.5121951219512195,0.2,0.19616519174041297,0.2112094395280236,0.02654867256637168,C101,C,0
38,0.021052631578947368,0.45121951219512196,0.4,0.11297935103244838,0.128023598820059,0.02654867256637168,C101,C,0
39,0.0,0.45121951219512196,0.6,0.14129793510324484,0.15398230088495576,0.02654867256637168,C101,C,0
40,0.0,0.5121951219512195,0.4,0.1672566371681416,0.184070796460177,0.02654867256637168,C101,C,0
41,0.3684210526315789,0.32926829268292684,0.2,0.07787610619469026,0.09469026548672567,0.02654867256637168,C101,C,0
42,0.3684210526315789,0.35365853658536583,0.2,0.04896755162241888,0.06932153392330384,0.02654867256637168,C101,C,0
43,0.3473684210526316,0.35365853658536583,0.4,0.020058997050147492,0.043952802359882005,0.02654867256637168,C101,C,0
44,0.3473684210526316,0.3902439024390244,0.2,0.00471976401179941,0.02359882005899705,0.02654867256637168,C101,C,0
45,0.3368421052631579,0.32926829268292684,0.2,0.10589970501474927,0.1215339233038348,0.02654867256637168,C101,C,0
46,0.3157894736842105,0.32926829268292684,0.2,0.15958702064896754,0.17699115044247787,0.02654867256637168,C101,C,0
47,0.3157894736842105,0.35365853658536583,0.6,0.13215339233038348,0.15014749262536872,0.02654867256637168,C101,C,0
48,0.3157894736842105,0.3902439024390244,0.2,0.31091445427728615,0.33244837758112095,0.02654867256637168,C101,C,0
49,0.29473684210526313,0.32926829268292684,0.2,0.1864306784660767,0.20442477876106194,0.02654867256637168,C101,C,0
50,0.29473684210526313,0.3902439024390244,0.2,0.2952802359882006,0.3144542772861357,0.02654867256637168,C101,C,0
51,0.2736842105263158,0.35365853658536583,0.2,0.24041297935103245,0.25958702064896755,0.02654867256637168,C101,C,0
